,Text,sentiment
0,    CRIMJUST is delighted to invite you to its webinar on   Gender  amp  corruption along drug trafficking routes   jointly o ,1
1,  Maurizio Vignolo presenta lavori su  MgB  ha lavorato con  INFMLAMIA prima di entrare a far parte di  Seguici su ,1
2, as much as i like microsoft  they are dumb asf for landing sony exclusive titles on pc but not xbox console,0
3,               Java             Microsoft                                     AUTOMATON   ,0
4,Microsoft partners with SpaceX on a cloud computing business for space    ,1
5,Microsoft Flight Simulator                                    ,0
6, Gana Microsoft porque le damos nuestro dinero    ,1
7,Gallwch ymuno gyda ein cynhadledd bora yma drwy ddilyn y linc isod   It s not too late to join our conference this  ,0
8,   Microsoft                                  ,0
9,Our  MicrosoftDynamics   BC financial management solution for  Charities is helping many charities streamline their  ,0
10,  Java              Microsoft                     ,0
11,   Spotlight  Windows    Microsoft  Laos  Antarctica  Java  Indonesia  Jaipur  India  OverTheWorld ,0
12,  Microsoft RDP  amp  WVD Podcast with Denis Gundarev from Microsoft   Podcast     RDP  WVD  IGEL  Micr ,1
13,                 Java             Microsoft                                     ,0
14,  Microsoft                   ,0
15,Microsoft RDP  amp  WVD Podcast with Denis Gundarev from Microsoft   Podcast     RDP  WVD  IGEL  Microsoft  podcast,1
16,  Today we are wishing a very Happy   th Birthday to Windows        Windows   launched back in October       Can you remembe ,1
17,For some reason  poking into C    s tuples again and thinking about anonymous types  Tuple lt T  T      gt  and ValueTupl  ,1
18,  Artificial Intelligence As a Service Market May Set new Growth Story   IBM  Microsoft  Intel  Baidu       bigdata  AI  Mach ,1
19,  Java Minecraft Mojang       Microsoft                             Minecraft Dungeons                                    ,0
20,    Microsoft       ,0
21,  CRIMJUST is delighted to invite you to its webinar on   Gender  amp  corruption along drug trafficking routes   joint  ,1
22,   That was for pre orders  Now Microsoft and GameStop are partners so you can expect more consoles on day  ,1
23,Some great new features from  forms   well worth a look    edtech  TA Talk  MIEExpert ,1
24, Spotlight  Windows    Microsoft  Laos  Antarctica  Java  Indonesia  Jaipur  India  OverTheWorld ,0
25,  Create  explore and survive together with  Xbox  NintendoSwitch and  Windows     PlayStation s excluded      Microsoft ,1
26,i will never buy google stadia no way no how google will never stand with the big dogs like sony and microsoft i m  ,0
27,  cara cepat dan simpel merapikan tulisan di microsoft word biar tidak perlu tarik tarik rules ,1
28,Crack pa ng      na Microsoft  ,0
29,           Microsoft Edge for Linux                          Linux            ,1
30,           Java      Microsoft                              ,0
31,Create  explore and survive together with  Xbox  NintendoSwitch and  Windows     PlayStation s excluded     ,1
32,Announcing the new Fundraising and Engagement solution from Microsoft ,1
33,Maurizio Vignolo presenta lavori su  MgB  ha lavorato con  INFMLAMIA prima di entrare a far parte di  Se  ,1
34,  amp   s latest report stresses once again the importance of implementing social opportunities for remot  ,1
35,  Microsoft Word Shortcuts ,1
36, Microsoft Office,0
37,Acabo de instalar Windows    y ya aparecieron   errores JAJAJAJA   Microsoft vete a la mierda,1
38,A      Gallup poll revealed that is one way to compensate for Microsoft  ,1
39,  NEW   Run Labor Dept Attacks  Microsoft For Its Goal To Increase Black Leaders in Company  READ   ,1
40,At    Years Of Age  This Granny Breaks Instagram With Her Awesome Microsoft Paint Art ,1
41,Don t miss this exclusive offer from  for Socitm members   Book a FREE     day Microsoft     security worksh  ,0
42,  Let s learn Microsoft excel shortcuts that you should know  your friend should know  amp  anyone who work with excel should ,1
43,he U S  could learn a lot from Europe s    years of battles with Microsoft and Google  via ,1
44,ead about how thousands of people with disabilities shape the technology you probably use every day ,1
45,Microsoft     entwickelt sich gerade in rasendem Tempo weiter    Zeit f r ein Update mit unseren Experten Benjamin   ,1
46,  Microsoft does not plan for US employees to come back to the office before July        I m really glad to work for a comp ,0
47,  Why can t  google  amp   Microsoft be friends     I don t want to have two calendars ,0
48,Microsoft jugando al monopoly in real life,1
49,Java        Microsoft                  ,0
50,             Java             Microsoft                                     AUTOMATON  ,0
51,  Si vous jouez sur  Minecraft Java Edition  vous allez devoir proc der   la migration de votre compte Mojang vers un compte ,1
52,  After an    year hiatus  Microsoft is once again producing a web browser that runs in the X Window System    ,0
53,Wann kommt endlich Gates Microsoft Armee und chippt uns per Maschinengewehr  Ich warte   ,1
54,  It s great to see policy makers addressing the need for human oversight of algorithms  but a human in the loop isn t a ,1
55,                   Minecraft  Java Edition                        Microsoft                                                      ,0
56, Bit of both perhaps  There s loads of companies you could argue that about   Microsoft  Apple etc etc  SussexHour,1
57,Why can t  google  amp   Microsoft be friends     I don t want to have two calendars ,0
58, LMAO These are almost as bad as Adobe s new icons   they could take a page out of microsoft s graphic design book    ,0
59,  Join us  Thursday October    Power Platform Community Conference     ,1
60,         GAFA  Google     Amazon     Facebook     Apple    Microsoft     Twitter                         JAL    ANA    A ,0
61,  AR  VR  Autonomy  Automation  Healthcare  DigitalTransformation  digital  transformation via  http ,1
62,                                                                                                  Microsoft flight simulator    ,0
63,  Microsoft                                                                                                                    ,0
64,  I m IN LOVE with all the cool shit Microsoft is doing for next gen    selling great tech for epic prices  back compat  m ,1
65,  If Microsoft follows Sony s example and releases a BLM Xbox theme  racist Gamers will have to face their worst nightmare  ,0
66,    MEET NOW  in    If you are logged in with your Microsoft account  you can have a  call right from the ,1
67,    Necesita comenzar de alguna manera  Eso en tu cuarta generaci n d  ,1
68,       Microsoft                        Microsoft   MOD                                                    ,0
69,  Microsoft Teams iOS app updated with natural language search support and more       appupdate  apple  apps  microsoft  slide ,0
70,  Un a o m s  patrocina el  y regalamos   vouchers para presentarse a ex menes de certificaci n Microsof ,1
71,  Microsoft                    MOD                                                                  Java                   ,1
72,Microsoft Surface Pro X   Ordenador Port til de      Wifi   LTE  Microsoft SQ     GB RAM      GB SSD  Windows     N  ,0
73,                View side by Side in Excel                                                      Excel ,0
74,              View side by Side in Excel                                                     ,0
75, I d agree there isn t a system seller by Microsoft  I mean for me it s simply the console making it a Day  ,0
76, Reminds me of Microsoft Anti trust case at the start of the millennium  Then Google was promoting  Don t be  ,1
77,Microsoft Teams iOS app updated with natural language search support and more       appupdate  apple  apps  ,0
78,Java              Microsoft                       GIGAZINE                                               ,0
79,falling asleep on microsoft teams    its so tempting,0
80,  Microsoft partners with SpaceX on a cloud computing business for space  ,1
81,   Not really  It helps them maintain security when every account is in house  On the other  ,0
82,    to power election results for Google  Amazon  Microsoft  AT amp T  via  ,0
83,  Entra  conecta y trabaja    As  de f cil te resultar  trabajar con el nuevo Monitor Interactivo  K  Es el primer y  nico del m ,1
84,                   Join our country programme   in commemorating its   th year anniversary at  pm Kigali time ,1
85,Super Mario Washes Lancer s Hands And Pisses on the Moon  D   Collectors Edition  Featuring Dante From The Devil Ma  ,1
86,         Java      Microsoft                                                     BE           ,0
87,  Microsoft explains why Minecraft runs at    p on Switch  ,0
88, Pues ni en microsoft ni en la pagina oficial de minecraft me dejaba  me ped a pagar aun teniendo  l  ,0
89,  BANDAI NAMCO Entertainment Joins Google  Microsoft  Ubisoft  former Sony CEO on      Read more   ,1
90,my dad work at microsoft if you dont leve me alone ill get you IP ban ,0
91,Windows      le nouveau Edge sera maintenant inclus d office avec des fonctionnalit s exclusives   Clubic  ,1
92,  Join him and other speakers like    and  at our FIRST EVER  HumansofIT  ,1
93,   Gana Microsoft porque le damos nuestro dinero    ,1
